Verb ID	Verb (dictionary entry)	Root	Meaning of the root (if known)	Glossing of the verb form (if possible)	Sense 1	Example for the Sense 1 (if available)	Sense 2	Example for the Sense 2 (if available)	Semantic shift	Comments1	Comments2
1	абарыгIвра										
2	абарыгвжважвара										
3	абарыгьагьара										
4	абарыдзыргIвра										
5	абарыфра										
6	абарыцIарара										
7	абарыцIсра										
8	абарыцIырра										
9	абафра										
10	абачакьра										
11	абачвкIвкIвра										
12	абащтIыхра										
13	абджьар щтIацIара										
14	абзазара йалажьра										
15	абшIара										
16	агIамбара										
17	агIахара										
18	агIбара										
19	агIвга-ацIгара										
20	агIвжвара										
21	агIвзачвахара										
22	агIвкъра										
23	агIвкъьара										
24	агIвпссгIара										
25	агIвсра										
26	агIвцара										
27	агIвчIвара										
28	агIвшара										
29	агIвщтра										
30	агIвыргъгъара										
31	агIвыхра										
32	агIмырбара										
33	агIщара										
34	агвцра										
35	агвынгIвра										
36	агвынкьра										
37	агентура										
38	гвыквсра										
39	агъара										
40	агърапара										
41	агърацара										
42	агърачIвазлара										
43	агърачIвара										
44	агърачра										
45	агърачызлра										
46	агърашвара										
47	агърыхра										
48	адгIапсалра										
49	адгалазлара										
50	адгвалра										
51	адгъьалра										
52	адгылра										
53	аддалра										
54	адзара										
55	адзхъагылра										
56	адзхъадзахра										
57	адзхъыхра										
58	адкIылара										
59	адкIылра										
60	адсылра										
61	адхра										
62	адхъра										
63	адцIара										
64	адцIра										
65	адшвалра										
66	адымгылра										
67	адыргылра										
68	адыргылхра										
69	адырхъалра										
70	адысылра										
71	адыцIра										
72	ажвра										
73	ажвысылра										
74	ажьахIвра										
75	азабакIра										
76	азадгалра										
77	азазбзизлара										
78	азазхIвахIвра										
79	азазыхара										
80	азайгIваджьхра										
81	азаргванзлара										
82	азаргванхара										
83	азаъазлара										
84	азгIашыкъра										
85	азгара										
86	азгвауара										
87	азгылра										
88	аздара										
89	аздзыргIвра										
90	азкIкIра										
91	азкIра										
92	азкIылпшра										
93	азкIылырпшра										
94	азнахара										
95	азначIвра										
96	азпшра										
97	азрыхIазырра										
98	азсакъра										
99	азхIара										
100	азхIвахIвра										
101	азхIвхIвара										
102	азхъацIара										
103	азхъацIачвара										
104	азхъвыцра										
105	азцара										
106	азъазара										
107	азыбжьара										
108	азыгIанхара										
109	азылахьра										
110	азылпхара										
111	азыразра										
112	азыргIвара										
113	азыргвышхвара										
114	азытрысра										
115	азытхIаусыхара										
116	азыцIкъьара										
117	азыцIырра										
118	азышIтра										
119	азышвшвра										
120	айбащра										
121	айбжьара										
122	айгIайра										
123	айгIваджьра										
124	айгвазлара										
125	айгвара										
126	айгьдзара										
127	айджьра										
128	айджьыра										
129	айззара										
130	айкъвшвашвара										
131	айлахIара										
132	аймхъаквыдзра										
133	амхъаквыдзра										
134	аймыкIвра										
135	айрышзлара										
136	айрышра										
137	айрышхара										
138	айсгIвызлара										
139	айсира										
140	айсра										
141	айсра йаквыргIапсра										
142	айсыхра										
143	айтуквцIара										
144	айтыпара										
145	айхIара										
146	айхIвапсара										
147	айчважвара										
148	айчвхIара										
149	айчра										
150	айщчвара										
151	айщыхIалра										
152	айъазара										
153	акIвшара										
154	акIвыршазлара										
155	аквблыгьара										
156	аквгIашIыхара										
157	аквгылра										
158	аквдзра										
159	аквжвара										
160	аквкIвырра										
161	аквкIра										
162	аквкъьара										
163	аквнагазлара										
164	аквнахIвара										
165	аквпсара										
166	акврыдзцара										
167	акврысра										
168	акврыцкьара										
169	аквсра										
170	аквтштшара										
171	аквхIара										
172	аквхра										
173	аквхъынхIвхра										
174	аквцIара										
175	аквчIвара										
176	аквчвара										
177	аквчвгIара										
178	аквшIакъвара										
179	аквшвара										
180	аквшвра										
181	аквщра										
182	аквщщра										
183	аквыдзахра										
184	аквызлара										
185	аквылра										
186	аквымшвара										
187	аквырблыгьара										
188	аквырбцIра										
189	аквыргъвгъвара										
190	аквыркъвакъвара										
191	аквырпIапIара										
192	аквырпсра										
193	аквырхвхвара										
194	аквыхра										
195	аквыцIра										
196	акъвцара										
197	акъвыцIра										
198	акъыльцIара										
199	акъыльцIарара										
200	алагIацIцара										
201	алагIашIыхара										
202	алагIваласра										
203	алагIватIра										
204	алагIвра										
205	алагара										
206	алагвара										
207	алагылра										
208	аладжьра										
209	аладзра										
210	алажвжвара										
211	алазлара										
212	алайра										
213	алакIвхIара										
214	алакацара										
215	алакъьщра										
216	алалагара										
217	алалра										
218	алалхра										
219	аламылра										
220	аланхара										
221	аланхъвра										
222	алапхьалзара										
223	алапара										
224	алапкъкъра										
225	алапсара										
226	алаптшра										
227	алаптштшра										
228	алапхьадзара										
229	алапшра										
230	аларбагъьара										
231	аларгIващара										
232	аларгIвзра										
233	аларкъвчIра										
234	аларпIапIара										
235	аларпIатIара										
236	алархIара										
237	кIажьра										
238	алахара										
239	алархчIра										
240	аларчIачIара										
241	аларчIвара										
242	аларчвара										
243	аларыдзра										
244	аларыхъвашара										
245	аларышара										
246	аласра										
247	алатIтIара										
248	алахIара										
249	алахвгIара										
250	алахвра										
251	алахра										
252	алахчIра										
253	алахъващра										
254	алацIара										
255	алацара										
256	алачIвазлара										
257	алачIвара										
258	алачвагъвара										
259	алашIахIвара										
260	алашвара										
261	алашра										
262	алащахIара										
263	алащахIахара										
264	алащра										
265	алащщра										
266	алащыхра										
267	алгара										
268	алгебра										
269	алдзгIара										
270	алкIвырра										
271	алкIгIара										
272	алкъьара										
273	алмыргара										
274	алпIлара										
275	алпсгIара										
276	алсра										
277	алхIвара										
278	алхра										
279	алхъвдахара										
280	алхъвдачIвра										
281	алцIра										
282	алцара										
283	алщтра										
284	алщщра										
285	алыкъьара										
286	алыргара										
287	алыртхаджьгIара										
288	алыхра										
289	алыцIра										
290	алыцIхра										
291	алышвтра										
292	амазлара										
293	амакIыра										
294	амарысра										
295	амахымзлара										
296	амацIара										
297	амгвапсра										
298	амгварбцIра										
299	амгварычхвхвырра										
300	амгвпсара										
301	амгаышвтра										
302	амгвыгIвзра										
303	амгвыцIра										
304	амжвара										
305	ампсахра										
306	амсара										
307	амхIвара										
308	амцIацIара										
309	амцIгара										
310	амцIгъычра										
311	амцIтIтIара										
312	амцIыртIтIара										
313	амцIыхра										
314	амщазлара										
315	амщара										
316	амщахара										
317	амыхра										
318	анадзара										
319	рхъвыхра										
320	ангIалра										
321	ангIвылра										
322	анйара										
323	анкъвакъвра										
324	апшIагылра										
325	анцIара										
326	аншвалра										
327	анылра										
328	анымгIалра										
329	аныргIалра										
330	анырйара										
331	аныхра										
332	аныцIра										
333	апамазлара										
334	апбгIара										
335	апкъьара										
336	апхъагIайыра										
337	апхъагылара										
338	апхъала йншуш [йшцуш] гIадырра										
339	апхъаламгIвайсра										
340	апхъысра										
341	апхьара										
342	апшIаргылра										
343	апшIарчIвара										
344	апшIасра										
345	апшIахысра										
346	апшра										
347	апшызлара										
348	апщылазлара										
349	апщылра										
350	апыдзахра										
351	апырхра										
352	апыхра										
353	апышвтра										
354	аргамчIвра										
355	аргванызлара										
356	ардара										
357	аркIра										
358	аркъажвра										
359	арра										
360	арфгIвышвара										
361	афгIвышвара										
362	архитектура										
363	арыкIьгара										
364	арыщцара										
365	асра										
366	багъьахара										
367	бара										
368	бжьара										
369	бкъара										
370	былра										
371	гIагвалашвара										
372	гIазкIкIра										
373	гIазшIытра										
374	гIакIвыршара										
375	гIакIра										
376	гIаквжвара										
377	гIакъвырцра										
378	гIалжвара										
379	гIалхра										
380	гIанаркъвра										
381	гIарбара										
382	гIаршра										
383	гIасра										
384	гIаура										
385	гIаущтра										
386	гIахъвыцра										
387	гIахътIра										
388	гIахьшвара										
389	гIацIщтра										
390	гIачвкIвкIвра										
391	гIашIарысра										
392	гIвара										
393	гIвнажьра										
394	гIвра										
395	гIвычара										
396	атагара										
397	атрыпара										
398	гара										
399	гъычра										
400	дауышвахара										
401	джвджвара										
402	джвыквцIара										
403	джьащара										
404	дзахра										
405	жвпIахара										
406	жвра										
407	жра										
408	жьара										
409	закра										
410	кIапсара										
411	кIвабара										
412	кIвхIара										
413	кIвыршара										
414	кIылдара										
415	къагIара										
416	къакъра										
417	къра										
418	лагахара										
419	лацIара										
420	лашвара										
421	аталххра										
422	атамамра псахра										
423	наркъвра										
424	нархъара										
425	атанкIра										
426	пара										
427	пкъра										
428	псахра										
429	птшра										
430	пхьадзара										
431	пхьжвара										
432	раура										
433	рашвара										
434	рбайара										
435	рбахра										
436	рбзихара										
437	ргIвара										
438	ргвыргььара										
439	ргвышхвара										
440	ргьвгъвара										
441	ргылра										
442	рдарара										
443	рдырра										
444	рзыгара										
445	ркIьыдара										
446	ркъацара										
447	ркъвара										
448	ркъвдра										
449	рмачIра										
450	рпIайра										
451	рпIапIара										
452	рпсайспара										
453	рпхара										
454	ррайшара										
455	рхIара										
456	рхъвара										
457	рхъйара										
458	рцара										
459	рчIвра										
460	рчара										
461	ршвара										
462	ршра										
463	рыбгIадзара										
464	рыгъвгъвара										
465	рыгьажьра										
466	рыдзра										
467	рыхIара										
468	рыхъвашара										
469	рыхьшвашвара										
470	рыцIагъара										
471	рыцIарара										
472	рыцIсра										
473	рыцкьара										
474	рычвра										
475	рышара										
476	сачIра										
477	табара										
478	тагара										
479	такъьара										
480	тапсара										
481	таххра										
482	тацIара										
483	тачвара										
484	тпара										
485	тырцра										
486	тыршара										
487	аущтра										
488	уыхвара										
489	хIваджьра										
490	хIвынчIара										
491	хвра										
492	хъагылра										
493	ахъапсара										
494	ахъарысра										
495	хъвапира										
496	хъвкIылра										
497	хъдара										
498	хъкIьра										
499	хънырхIвхра										
500	ахърышвтра										
501	хъсара										
502	хътIра										
503	хъыртшра										
504	хъырцра										
505	ахъыхра										
506	хьара										
507	ахьыщра										
508	ацIажьра										
509	ацIаргылра										
510	цIаркъвдра										
511	ацIацIара										
512	цIкъьара										
513	цIларкIра										
514	цIыжгIара										
515	цIыргIвара										
516	ацарпара										
517	аццIара										
518	чIыгвра										
519	чакьра										
520	чвагъвара										
521	чвкIвкIвра										
522	чвра										
523	чпара										
524	чра										
525	шIахIвара										
526	шIчIвара										
527	ашIырпIлара										
528	швахъырчра										
529	швра										
530	швырхара										
531	шкIвокIвахара										
532	щаквыргылра										
533	щтIыхра										
534	щыхра										
535	атмосфера										
536	атра										
537	атыпара										
538	ауацIапсра										
539	ауацIыхра										
540	аугIа ахъцара										
541	аугIа рарыпхьара										
542	ахIвара										
